student_id,Frame,Emotions,Main Emotion,Region,Face Position
lcZXTRvsQHCo3tJjbOfc,480,"{'angry': 1.2362999841570854, 'disgust': 6.11403720540693e-05, 'fear': 1.680167205631733, 'happy': 0.027723974199034274, 'sad': 3.6163054406642914, 'surprise': 0.047665651072748005, 'neutral': 93.3917760848999}",neutral,"{'x': 762, 'y': 480, 'w': 28, 'h': 38, 'left_eye': (782, 496), 'right_eye': (769, 495)}","{'pitch': -13.736860275268555, 'yaw': 6.766293525695801, 'roll': 4.202883720397949}"
pnAvdH03UCcuuJfrt2jv,480,"{'angry': 2.7686284855008125, 'disgust': 1.9462733646946617e-07, 'fear': 3.436513990163803, 'happy': 0.0010924980415438768, 'sad': 78.85650396347046, 'surprise': 0.011124525917693973, 'neutral': 14.926140010356903}",sad,"{'x': 608, 'y': 490, 'w': 23, 'h': 30, 'left_eye': (625, 501), 'right_eye': (615, 501)}","{'pitch': -19.037790298461914, 'yaw': -2.3348562717437744, 'roll': 1.5533957481384277}"
TjABtUgRwT3xhUDKze4Q,540,"{'angry': 2.471717834851006e-05, 'disgust': 1.4718841256922133e-06, 'fear': 0.196527480147779, 'happy': 0.4058957565575838, 'sad': 17.333941161632538, 'surprise': 5.776053413342197e-07, 'neutral': 82.06360936164856}",neutral,"{'x': 1251, 'y': 601, 'w': 52, 'h': 62, 'left_eye': (1294, 631), 'right_eye': (1272, 629)}","{'pitch': -21.68470001220703, 'yaw': -9.506339073181152, 'roll': 6.989925384521484}"
lcZXTRvsQHCo3tJjbOfc,660,"{'angry': 99.87999796152103, 'disgust': 0.005014499337112492, 'fear': 0.06978791040966871, 'happy': 0.0024164091504297086, 'sad': 0.040310216210646406, 'surprise': 0.0004243383298757515, 'neutral': 0.002056890602762344}",angry,"{'x': 752, 'y': 488, 'w': 26, 'h': 34, 'left_eye': (769, 502), 'right_eye': (757, 503)}","{'pitch': -19.63741683959961, 'yaw': 47.83835220336914, 'roll': -10.03182315826416}"
HRnEUsOUUy7KEXHqUAGf,660,"{'angry': 26.776397228240967, 'disgust': 0.0008581727342971135, 'fear': 25.22764801979065, 'happy': 29.178667068481445, 'sad': 18.347501754760742, 'surprise': 0.03320665273349732, 'neutral': 0.4357269499450922}",happy,"{'x': 521, 'y': 594, 'w': 56, 'h': 68, 'left_eye': (567, 619), 'right_eye': (541, 626)}","{'pitch': -19.919458389282227, 'yaw': -25.87364959716797, 'roll': -13.39621639251709}"
HRnEUsOUUy7KEXHqUAGf,720,"{'angry': 0.018627224199008197, 'disgust': 1.3172340822265038e-09, 'fear': 0.18379002576693892, 'happy': 0.014484432176686823, 'sad': 1.6513574868440628, 'surprise': 2.233816474017658e-05, 'neutral': 98.13172221183777}",neutral,"{'x': 540, 'y': 604, 'w': 54, 'h': 65, 'left_eye': (586, 629), 'right_eye': (563, 635)}","{'pitch': -14.205711364746094, 'yaw': -33.39521026611328, 'roll': -15.406713485717773}"
lcZXTRvsQHCo3tJjbOfc,720,"{'angry': 6.993914486977864e-06, 'disgust': 1.2185293038690128e-12, 'fear': 4.2958947989269975e-09, 'happy': 99.98102187997233, 'sad': 2.5393058059907574e-07, 'surprise': 2.6690944380191223e-07, 'neutral': 0.01897394799332383}",happy,"{'x': 762, 'y': 485, 'w': 25, 'h': 34, 'left_eye': (781, 500), 'right_eye': (769, 500)}","{'pitch': -14.822013854980469, 'yaw': -8.976795196533203, 'roll': 3.2637076377868652}"
P6gF42vwzA2PjCkJPDLz,780,"{'angry': 78.15650701522827, 'disgust': 2.70682960490376e-06, 'fear': 14.736522734165192, 'happy': 0.22125269751995802, 'sad': 3.5020552575588226, 'surprise': 0.00018808457298291614, 'neutral': 3.3834733068943024}",angry,"{'x': 1459, 'y': 605, 'w': 55, 'h': 55, 'left_eye': (1497, 632), 'right_eye': (1473, 626)}","{'pitch': -17.561338424682617, 'yaw': 15.512499809265137, 'roll': 19.6923770904541}"
HRnEUsOUUy7KEXHqUAGf,780,"{'angry': 4.771712706787151, 'disgust': 0.0004494029139569369, 'fear': 63.834706773442434, 'happy': 8.688740485399919e-05, 'sad': 31.38200231683268, 'surprise': 9.442022837940757e-07, 'neutral': 0.011039749300381128}",fear,"{'x': 536, 'y': 620, 'w': 55, 'h': 61, 'left_eye': (575, 646), 'right_eye': (551, 652)}","{'pitch': -34.604217529296875, 'yaw': -6.983287334442139, 'roll': -10.962879180908203}"
TjABtUgRwT3xhUDKze4Q,780,"{'angry': 0.0020090213471696395, 'disgust': 5.678162279081374e-06, 'fear': 0.9850122621662774, 'happy': 83.81475709764702, 'sad': 0.06699079348464569, 'surprise': 0.08293308695565682, 'neutral': 15.048290195959222}",happy,"{'x': 1251, 'y': 583, 'w': 49, 'h': 62, 'left_eye': (1294, 612), 'right_eye': (1275, 612)}","{'pitch': -16.871475219726562, 'yaw': -26.362197875976562, 'roll': 9.950803756713867}"
